promoter,mut_info,growth_condition,growth_condition_info,replicate,pos
TSS_1414_storz_regulondb,0.00027011598253564705,39-2,Acetate,2,-115
TSS_1414_storz_regulondb,0.0001731143908537446,39-2,Acetate,2,-114
TSS_1414_storz_regulondb,0.00010762585757388785,39-2,Acetate,2,-113
TSS_1414_storz_regulondb,0.00039951708146774775,39-2,Acetate,2,-112
TSS_1414_storz_regulondb,9.339991581498253e-9,39-2,Acetate,2,-111
TSS_1414_storz_regulondb,0.0001796264369003809,39-2,Acetate,2,-110
TSS_1414_storz_regulondb,0.0003107398484658774,39-2,Acetate,2,-109
TSS_1414_storz_regulondb,0.00018157867182523168,39-2,Acetate,2,-108
TSS_1414_storz_regulondb,0.0003155116996473228,39-2,Acetate,2,-107
TSS_1414_storz_regulondb,2.004291113495314e-5,39-2,Acetate,2,-106
TSS_1414_storz_regulondb,0.00029011547947923634,39-2,Acetate,2,-105
TSS_1414_storz_regulondb,0.0006746814580657684,39-2,Acetate,2,-104
TSS_1414_storz_regulondb,3.7877561751602446e-5,39-2,Acetate,2,-103
TSS_1414_storz_regulondb,0.0002993296704139857,39-2,Acetate,2,-102
TSS_1414_storz_regulondb,5.620224307107302e-7,39-2,Acetate,2,-101
TSS_1414_storz_regulondb,8.277437896255782e-5,39-2,Acetate,2,-100
TSS_1414_storz_regulondb,1.6883795289159703e-5,39-2,Acetate,2,-99
TSS_1414_storz_regulondb,5.427849719693775e-5,39-2,Acetate,2,-98
TSS_1414_storz_regulondb,4.7638872346862735e-5,39-2,Acetate,2,-97
TSS_1414_storz_regulondb,1.3651358589387617e-5,39-2,Acetate,2,-96
TSS_1414_storz_regulondb,0.000634931244255843,39-2,Acetate,2,-95
TSS_1414_storz_regulondb,1.075856983451121e-6,39-2,Acetate,2,-94
TSS_1414_storz_regulondb,0.0006853156090540101,39-2,Acetate,2,-93
TSS_1414_storz_regulondb,0.000841680683872051,39-2,Acetate,2,-92
TSS_1414_storz_regulondb,3.2630434661795995e-5,39-2,Acetate,2,-91
TSS_1414_storz_regulondb,0.00025648558606079135,39-2,Acetate,2,-90
TSS_1414_storz_regulondb,0.0019611955242036863,39-2,Acetate,2,-89
TSS_1414_storz_regulondb,0.0002789146555930793,39-2,Acetate,2,-88
TSS_1414_storz_regulondb,0.00028632400366116525,39-2,Acetate,2,-87
TSS_1414_storz_regulondb,0.0004727298603118815,39-2,Acetate,2,-86
TSS_1414_storz_regulondb,0.0008146633527243438,39-2,Acetate,2,-85
TSS_1414_storz_regulondb,2.176950557054077e-5,39-2,Acetate,2,-84
TSS_1414_storz_regulondb,0.0002481281441018557,39-2,Acetate,2,-83
TSS_1414_storz_regulondb,0.0005797650167600659,39-2,Acetate,2,-82
TSS_1414_storz_regulondb,0.00023998499163350225,39-2,Acetate,2,-81
TSS_1414_storz_regulondb,0.0006038356583051643,39-2,Acetate,2,-80
TSS_1414_storz_regulondb,0.000588490250017071,39-2,Acetate,2,-79
TSS_1414_storz_regulondb,0.00019756657563878809,39-2,Acetate,2,-78
TSS_1414_storz_regulondb,0.001047158356883935,39-2,Acetate,2,-77
TSS_1414_storz_regulondb,0.00011453715496910141,39-2,Acetate,2,-76
TSS_1414_storz_regulondb,5.622748628980167e-5,39-2,Acetate,2,-75
TSS_1414_storz_regulondb,0.0013640004769342462,39-2,Acetate,2,-74
TSS_1414_storz_regulondb,3.878095920044865e-5,39-2,Acetate,2,-73
TSS_1414_storz_regulondb,0.0005420864985497464,39-2,Acetate,2,-72
TSS_1414_storz_regulondb,7.147617738757989e-5,39-2,Acetate,2,-71
TSS_1414_storz_regulondb,1.8721604088247062e-5,39-2,Acetate,2,-70
TSS_1414_storz_regulondb,1.4486092684682544e-7,39-2,Acetate,2,-69
TSS_1414_storz_regulondb,3.290039159346142e-5,39-2,Acetate,2,-68
TSS_1414_storz_regulondb,2.13259444820904e-5,39-2,Acetate,2,-67
TSS_1414_storz_regulondb,6.992605251421508e-8,39-2,Acetate,2,-66
TSS_1414_storz_regulondb,0.0004070578676854909,39-2,Acetate,2,-65
TSS_1414_storz_regulondb,5.5573438520870174e-5,39-2,Acetate,2,-64
TSS_1414_storz_regulondb,0.00012664171370065482,39-2,Acetate,2,-63
TSS_1414_storz_regulondb,0.0016684296807684615,39-2,Acetate,2,-62
TSS_1414_storz_regulondb,0.0008931830021107574,39-2,Acetate,2,-61
TSS_1414_storz_regulondb,1.4010651097908834e-5,39-2,Acetate,2,-60
TSS_1414_storz_regulondb,7.892336799917091e-5,39-2,Acetate,2,-59
TSS_1414_storz_regulondb,2.0745806899850503e-5,39-2,Acetate,2,-58
TSS_1414_storz_regulondb,1.7019072699224957e-5,39-2,Acetate,2,-57
TSS_1414_storz_regulondb,0.000350574094551301,39-2,Acetate,2,-56
TSS_1414_storz_regulondb,0.00039575777106842704,39-2,Acetate,2,-55
TSS_1414_storz_regulondb,3.452185581389916e-5,39-2,Acetate,2,-54
TSS_1414_storz_regulondb,3.88421015704455e-6,39-2,Acetate,2,-53
TSS_1414_storz_regulondb,5.901901595347747e-6,39-2,Acetate,2,-52
TSS_1414_storz_regulondb,0.001967670182445031,39-2,Acetate,2,-51
TSS_1414_storz_regulondb,6.841089348063982e-5,39-2,Acetate,2,-50
TSS_1414_storz_regulondb,0.001182217070777005,39-2,Acetate,2,-49
TSS_1414_storz_regulondb,5.313984348593367e-6,39-2,Acetate,2,-48
TSS_1414_storz_regulondb,0.0001252271312799395,39-2,Acetate,2,-47
TSS_1414_storz_regulondb,0.0007165523740794077,39-2,Acetate,2,-46
TSS_1414_storz_regulondb,0.0002691376686180767,39-2,Acetate,2,-45
TSS_1414_storz_regulondb,0.0003560940677146754,39-2,Acetate,2,-44
TSS_1414_storz_regulondb,0.0003063064834501828,39-2,Acetate,2,-43
TSS_1414_storz_regulondb,0.0019649070470773577,39-2,Acetate,2,-42
TSS_1414_storz_regulondb,0.00024650260797442255,39-2,Acetate,2,-41
TSS_1414_storz_regulondb,0.00047418697997221246,39-2,Acetate,2,-40
TSS_1414_storz_regulondb,0.004190695493248277,39-2,Acetate,2,-39
TSS_1414_storz_regulondb,0.002259875660211845,39-2,Acetate,2,-38
TSS_1414_storz_regulondb,0.0008725468535151128,39-2,Acetate,2,-37
TSS_1414_storz_regulondb,2.004361586837298e-6,39-2,Acetate,2,-36
TSS_1414_storz_regulondb,0.000813325322360739,39-2,Acetate,2,-35
TSS_1414_storz_regulondb,0.001040060688867488,39-2,Acetate,2,-34
TSS_1414_storz_regulondb,0.002136168949460336,39-2,Acetate,2,-33
TSS_1414_storz_regulondb,1.230780847099748e-7,39-2,Acetate,2,-32
TSS_1414_storz_regulondb,0.0007352340752052999,39-2,Acetate,2,-31
TSS_1414_storz_regulondb,1.7669574409466494e-5,39-2,Acetate,2,-30
TSS_1414_storz_regulondb,1.2906952817943063e-6,39-2,Acetate,2,-29
TSS_1414_storz_regulondb,2.6669547666410918e-6,39-2,Acetate,2,-28
TSS_1414_storz_regulondb,1.4304332545359987e-5,39-2,Acetate,2,-27
TSS_1414_storz_regulondb,0.0010660941130609808,39-2,Acetate,2,-26
TSS_1414_storz_regulondb,0.006173599877909535,39-2,Acetate,2,-25
TSS_1414_storz_regulondb,0.00012556609477256493,39-2,Acetate,2,-24
TSS_1414_storz_regulondb,0.0003242792910722577,39-2,Acetate,2,-23
TSS_1414_storz_regulondb,0.00019170810438524487,39-2,Acetate,2,-22
TSS_1414_storz_regulondb,0.0002532895048271682,39-2,Acetate,2,-21
TSS_1414_storz_regulondb,0.0001358020108354419,39-2,Acetate,2,-20
TSS_1414_storz_regulondb,0.0006313541542268472,39-2,Acetate,2,-19
TSS_1414_storz_regulondb,0.0014597642287877948,39-2,Acetate,2,-18
TSS_1414_storz_regulondb,0.0022976913203617225,39-2,Acetate,2,-17
TSS_1414_storz_regulondb,0.0059668768979339315,39-2,Acetate,2,-16
TSS_1414_storz_regulondb,2.762505755716095e-5,39-2,Acetate,2,-15
TSS_1414_storz_regulondb,6.952072486754619e-7,39-2,Acetate,2,-14
TSS_1414_storz_regulondb,4.548457547084669e-5,39-2,Acetate,2,-13
TSS_1414_storz_regulondb,0.0019935308536097457,39-2,Acetate,2,-12
TSS_1414_storz_regulondb,0.0010935850718694603,39-2,Acetate,2,-11
TSS_1414_storz_regulondb,0.0019773231848656727,39-2,Acetate,2,-10
TSS_1414_storz_regulondb,0.00042502432885180037,39-2,Acetate,2,-9
TSS_1414_storz_regulondb,0.00031643363516115075,39-2,Acetate,2,-8
TSS_1414_storz_regulondb,1.7293290108863892e-9,39-2,Acetate,2,-7
TSS_1414_storz_regulondb,0.0002937868583737305,39-2,Acetate,2,-6
TSS_1414_storz_regulondb,7.009252182194623e-5,39-2,Acetate,2,-5
TSS_1414_storz_regulondb,0.00013732546258052054,39-2,Acetate,2,-4
TSS_1414_storz_regulondb,1.563547069558652e-6,39-2,Acetate,2,-3
TSS_1414_storz_regulondb,0.000339186774900857,39-2,Acetate,2,-2
TSS_1414_storz_regulondb,0.0011789939651327217,39-2,Acetate,2,-1
TSS_1414_storz_regulondb,0.0007546951509864149,39-2,Acetate,2,0
TSS_1414_storz_regulondb,5.570858536032728e-5,39-2,Acetate,2,1
TSS_1414_storz_regulondb,0.0008598426648646828,39-2,Acetate,2,2
TSS_1414_storz_regulondb,0.00041397355808586115,39-2,Acetate,2,3
TSS_1414_storz_regulondb,1.134280588196263e-5,39-2,Acetate,2,4
TSS_1414_storz_regulondb,0.002023417331214302,39-2,Acetate,2,5
TSS_1414_storz_regulondb,0.0011368836244173113,39-2,Acetate,2,6
TSS_1414_storz_regulondb,2.8592534263915687e-5,39-2,Acetate,2,7
TSS_1414_storz_regulondb,0.0014721746104126038,39-2,Acetate,2,8
TSS_1414_storz_regulondb,4.267749562697075e-5,39-2,Acetate,2,9
TSS_1414_storz_regulondb,0.002461397660613863,39-2,Acetate,2,10
